body_type,km,ownerno,brand,model,modelyear,price_in_lakh,insurance_validity,fuel_type,seats,transmission,top_features_count,comfort_count,safety_count,mileage,color,displacement,city
SUV,60000,2,Nissan,Nissan Terrano,2014,6.5,Third Party insurance,Diesel,5,Manual,9,18,22,19.01,Others,1461,Bangalore
Hatchback,83829,1,Maruti,Maruti Swift,2014,4.44,Third Party insurance,Diesel,5,Manual,9,10,21,25.2,Red,1248,Bangalore
Hatchback,10000,1,Renault,Renault KWID,2020,5.1,Third Party insurance,Petrol,5,Automatic,9,10,22,19.095,Others,999,Bangalore
SUV,35000,2,Renault,Renault Duster,2016,9.25,Comprehensive,Diesel,5,Automatic,9,21,26,19.6,Grey,1461,Bangalore
Sedan,51116,2,Honda,Honda City,2019,10.24,Comprehensive,Petrol,5,Automatic,9,26,28,19.095,White,1497,Bangalore
Sedan,80000,3,Skoda,Skoda Rapid,2016,5.0,Third Party insurance,Diesel,5,Manual,9,17,20,21.14,Others,1498,Bangalore
Hatchback,40000,2,Volkswagen,Volkswagen Polo,2017,9.95,Third Party insurance,Petrol,5,Automatic,9,14,20,17.21,Others,1197,Bangalore
SUV,85565,2,Honda,Honda CR-V,2012,9.35,Comprehensive,Petrol,5,Automatic,9,14,18,11.1,White,2354,Bangalore
SUV,36916,1,Ford,Ford Ecosport,2018,8.34,Comprehensive,Petrol,5,Manual,9,20,34,19.095,Others,1497,Bangalore
Hatchback,90000,1,Volkswagen,Volkswagen Polo,2015,5.6,Third Party insurance,Diesel,5,Manual,9,11,20,20.14,Others,1498,Bangalore
Hatchback,112795,1,Maruti,Maruti Swift,2012,4.54,Comprehensive,Petrol,5,Manual,9,11,26,22.38,Silver,1197,Bangalore
Sedan,11000,1,Mercedes-Benz,Mercedes-Benz A-Class Limousine,2021,36.9,Comprehensive,Petrol,5,Automatic,9,32,40,19.095,Silver,1332,Bangalore
MUV,120000,2,Toyota,Toyota Innova,2014,11.0,Third Party insurance,Petrol,7,Manual,9,9,19,11.4,Others,1998,Bangalore
Hatchback,36685,2,Honda,Honda Brio,2016,4.62,Comprehensive,Petrol,5,Manual,9,12,16,19.4,Red,1198,Bangalore
SUV,120000,2,Hyundai,Hyundai Santa Fe,2012,9.0,Third Party insurance,Diesel,7,Automatic,9,22,21,11.72,Others,2199,Bangalore
Sedan,4000,1,BMW,BMW 6 Series,2022,79.0,Comprehensive,Petrol,4,Automatic,9,31,36,13.32,Blue,1998,Bangalore
Hatchback,32184,2,Maruti,Maruti Baleno,2019,8.43,Third Party insurance,Petrol,5,Automatic,9,15,28,21.4,Silver,1197,Bangalore
Hatchback,32279,1,Maruti,Maruti Baleno RS,2018,7.99,Comprehensive,Petrol,5,Manual,9,16,25,21.1,White,998,Bangalore
Hatchback,59698,1,Hyundai,Hyundai i20,2015,5.76,Comprehensive,Petrol,5,Manual,9,18,24,18.6,White,1197,Bangalore
SUV,46071,1,Renault,Renault Captur,2018,9.49,Comprehensive,Diesel,5,Manual,9,26,30,20.37,Grey,1461,Bangalore
SUV,90000,1,Maruti,Maruti Vitara Brezza,2017,7.95,Third Party insurance,Diesel,5,Manual,9,16,25,24.3,Yellow,1248,Bangalore
SUV,9554,1,Hyundai,Hyundai Venue,2019,10.85,Third Party insurance,Petrol,5,Manual,9,15,27,18.27,Blue,998,Bangalore
SUV,14000,1,Jeep,Jeep Compass,2022,25.9,Comprehensive,Petrol,5,Automatic,9,25,37,14.1,Green,1368,Bangalore
SUV,74499,2,Renault,Renault Duster,2013,5.16,Third Party insurance,Diesel,5,Manual,8,11,14,20.45,Brown,1461,Bangalore
SUV,56211,2,Ford,Ford Ecosport,2017,7.77,Comprehensive,Petrol,5,Automatic,9,15,30,14.8,Grey,1497,Bangalore
Hatchback,9001,1,Honda,Honda Jazz,2019,7.53,Comprehensive,Petrol,5,Manual,9,15,25,18.2,White,1199,Bangalore
SUV,65457,2,Mahindra,Mahindra XUV500,2017,12.26,Third Party insurance,Diesel,7,Automatic,9,23,29,19.095,Orange,1997,Bangalore
Hatchback,23682,1,Honda,Honda Jazz,2017,7.25,Comprehensive,Petrol,5,Manual,9,13,22,18.7,Red,1199,Bangalore
Sedan,50000,1,Hyundai,Hyundai Verna,2020,11.5,Third Party insurance,Diesel,5,Manual,9,27,30,19.095,Red,1582,Bangalore
Hatchback,134557,2,Maruti,Maruti Swift,2015,6.29,Comprehensive,Diesel,5,Manual,9,15,24,25.2,White,1248,Bangalore
Sedan,96567,2,Maruti,Maruti Swift Dzire,2013,4.47,Comprehensive,Petrol,5,Manual,9,15,24,22.41,Blue,1197,Bangalore
MUV,83007,2,Maruti,Maruti Ertiga,2014,7.86,Comprehensive,Diesel,7,Manual,9,15,23,20.77,White,1248,Bangalore
Hatchback,34000,1,Honda,Honda Jazz,2018,7.45,Comprehensive,Petrol,5,Manual,9,14,22,18.7,Maroon,1199,Bangalore
Hatchback,81634,1,Hyundai,Hyundai Grand i10,2014,4.9,Comprehensive,Petrol,5,Automatic,9,16,17,18.9,White,1197,Bangalore
Sedan,57284,2,Honda,Honda City,2017,9.42,Comprehensive,Petrol,5,Automatic,9,27,29,19.095,Brown,1497,Bangalore
SUV,70000,2,Ford,Ford Ecosport,2016,6.75,Third Party insurance,Petrol,5,Automatic,9,15,25,15.63,Silver,1499,Bangalore
Hatchback,70000,2,Honda,Honda Brio,2013,3.3,Third Party insurance,Petrol,5,Manual,9,12,16,19.4,Red,1198,Bangalore
Sedan,46429,2,Toyota,Toyota Yaris,2018,8.75,Third Party insurance,Petrol,5,Automatic,9,18,26,17.8,White,1496,Bangalore
